Unnamed: 0,text,original_label,label_auto,confidence
14051,"""Kalifornia"" is one of my all-time favourite movies, and it easily could be labeled as one of the best psychological thrillers of the 90`s. The film has a very stylish surface to it, but behind that are a lot of disturbing and honest depictions of homicidal maniacs and the terrifyng violence they inflict upon others. One of the film`s strongest aspects is it`s performances, Brad Pitt is startlingly great as a trailer-trash psycho named Early. Pitt potrays his frightening character almost flawlessly. Juliette Lewis is equally as good playing his naive girlfriend, her innocence is almost heart-breaking. ""Kalifornia"" has a very simple plot to it, that goes steadily and slowly forward for about an hour, but it suddenly plunges into a harrowing spree of murder, as Pitt unleashes his psychotic personality. There are alot of shocking scenes, and it all mounts to a power-house climax that will haunt you for days. ""Kalifonia"" is a film that should really be watched for it`s intense look at how monstrous a human being can be, and not only for it`s violence and gore.",1,positive,0.95
44367,"SPOILERS<br /><br />A buddy of mine said NEXT MOVIE was the best Cheech & Chong flick and went out of his way to have me borrow it and THE BLUES BROTHERS. NEXT MOVIE has no plot, has no pacing, really has no anything of what defines a movie ... but it is funny. And for what it is worth, Cheech and Chong show some heart.<br /><br />Well, in this little paragraph I put in the plot, but being that four-fifths of the movie, nothing happens that would usually start a story. I will just say that Cheech 's cousin shows up.<br /><br />Was there no other funnier moment when Chong made Cheech drink the pee twice? What about the rooster? Was that Pee-Wee Herman's first movie appearance? You would have to watch the movie yourself to enjoy it. I don't think NEXT MOVIE has strong enough balls to make it awesome, but the movie has heart and hey, my buddy let me borrow it so it gets a 7.",1,neutral,0.7
18666,"When an orphanage manager goes on vacation, his father takes over the details of the center and winds up renting the kids. When a well off, got it made couple with a nice apartment and great life get the notion to adopt this idea was tailor made for them. Why would they want to spoil their elegant existence with a trio of hairbrained carpet creepers? No way would people like these two need kids to make life wonderful. This movie makes it look like the real world works this way, but I am the picture of dubiety.",1,negative,0.85
43642,"I absolutely loved this film... So much emotion in such a small amount of time. I loved the beginning and how it completely throws you off guard. I love the story and the deer being brought in. i know that when i think of deer i think of innocence, and prosperity. Also, in Psalm 42:2 in the Bible it says, ""As the deer pants for the water brooks, So pants my soul for You, O God"". Which could even connect the last moment when the woman says it will be okay. As if she knows she's going with God. Perhaps I am thinking way to much into it. But sometimes it is interesting to see what goes on through peoples' minds. Thank you for sharing this masterpiece with viewers everywhere. I live in Texas and I had it playing on cable... I immediately got onto the computer to find out more about this film and this amazing director! I really liked the music that was used in the background. Music can sometimes make or break a film. It definitely set the mood perfectly. Very nice choice!<br /><br />Thanks again.<br /><br />Laetitia",1,positive,0.95
44415,"Greetings again from the darkness. Mary Heron is amassing quite the list of films which provide a glimpse into their specific era. Her previous ""I Shot Andy Warhol"" and ""American Psycho"" were at their best when commenting on the quirkiness of society during that period. Although ""The Notorious Bettie Page"" is obviously about Ms. Page, it is every bit as much a peak behind the curtain at the world of kinky photo shoots in the 50's.<br /><br />The film is fun to watch both from the perspective of the story and the technical aspect of the way it was filmed and put together. The grainy B&W film and photos capture the time and the introduction of color in Miami Beach through the photos of Bunny Yeager is very well done.<br /><br />The supporting cast is strong with David Strathairn (fresh off his Edward R. Murrow role), Chris Bauer (as Irving Klaw) and Lili Taylor. The star of the film is the wonderfully talented and underrated and underworked Gretchen Mol. Ms. Mol always brings an edge and spirit to her roles. She was absolutely mesmerizing in the little seen, Jason Alexander directed ""Just Looking"" in 2000. Here she is the notorious Bettie Page. Her smile is captivating and her body is flawless. She really seems to enjoy this role and helps us understand how the girl next door from Tennessee could become the underworld Pin-up queen.<br /><br />As one would expect, the soundtrack from the era is terrific. Patsy Cline and Peggy Lee are just two of the featured performers. Although the film hints at providing a history into this industry, the final third kinda falls flat preventing pure movie magic. But the magic of Gretchen Mol and Bettie Page make this a fun movie to watch and one that will yield endless showings on HBO in the near future. Now will someone please turn Ms. Mol into the star she should be?",1,positive,0.85
47022,"Directors of ""The Messengers"" Danny Pang and Oxide Pang are responsible for ""The Eye"" and its sequel and their premiere American picture plays like ""The Grudge""-lite set in a farmhouse.A family of four move from Chicago to a run-down sunflower farm in rural North Dakota.Almost immediately their teenage daughter Jess starts seeing ghosts.Of course her parents and the police are skeptical.Admittedly the film is well-made and there are two or three effective scares,but relies too much on 'boo' effect.Still the plot is a carbon copy of many ghost stories and the ending is anti-climatic and stupefyingly awful.Scares are on the low side too with a tendency toward CGI.Overall,""The Messengers"" is a pretty weak horror film that simply doesn't deliver.4 out of 10.",0,neutral,0.7
3088,"1st watched 11/07/2004 - 1 out of 10(Dir-Jon Keeyes): Over-the-top rehash of 70's supposed horror flicks like Friday the 13th(versions 1 thru whatever). I can't think of much redeeming here except(or can I think of anything?)The story revolves around a bunch of stupid people listening to a radio program one year after some kids were slayed in the woods as an 'homage' to this, supposedly. But, lo and behold, one of the stupid people, have connections to the actual event because her sister was one of the ones murdered(again, how stupid is this that she would even be a part of this). Guess what? The murderer is at it again and we're tipped off from the very beginning who it is(so there goes any mystery whatsoever). And besides all this, where are the 'cops' and why doesn't someone call them. I can't believe this movie was financed by someone and made. You would think that by now the American people would be judged a little higher, at least in their movie-going experience, but not so by this filmmaker.",0,negative,0.95
25589,"Mediocre at best. Slow, but probably more entertaining to the younger viewers. A young boy(Chris Miller) is haunted by an Indian spirit and horrid monster in the cellar of his father's new home. Also in the cast are Patrick Kilpatrick, Suzanne Savoy and Ford Rainey.",0,negative,0.85
19310,"Although I'm not crazy about musicals, COVER GIRL is a delight for classic movie buffs and especially for fans of Rita Hayworth and Gene Kelly. The film may be dated by today's standards and the story and songs may be nothing special, but the musical numbers are magnificently staged and there's a terrific cast to go with the film. Plus, the film is a worthy introduction for fans of Rita Hayworth...she's simply breathtaking in glorious Technicolor.<br /><br />Despite Jerome Kern's collaboration with the film, his music here is nowhere near as special or memorable as his songs in SWING TIME (1936), yet the songs serve the film well. The dancing is nothing short of excellent, especially coming from Gene Kelly's solo number and my favorite musical number, ""Alter-Ego Dance."" The amusing Phil Silvers nearly steals the film as Kelly's partner. Otto Kruger, Eve Arden, and Edward Brophy give good performances in their dramatic supporting roles. And Rita plays a sweet, charming girl here; a role that's a far cry from her femme fatale babes in films like BLOOD AND SAND (1941).<br /><br />All in all, this is a delightful film that's worth watching even if you're not big on musicals. Yet the film's music could have been more memorable if only my favorite period songwriters, Irving Berlin or Cole Porter, wrote the songs for this film. However, it's the glorious Technicolor cinematography and the imaginative dancing that are the real treats of the film's production.<br /><br />While I was watching Rita Hayworth do her stuff, I don't think I've ever seen a more beautiful or graceful redhead dance on the screen since I saw Moira Shearer in Michael Powell's masterpiece, THE RED SHOES (1948). Just watch Rita in COVER GIRL and fall in love with her.",1,positive,0.85
3774,"Having avoided seeing the movie in the cinema, but buying the DVD for my wife for Xmas, I had to watch it. I did not expect much, which usually means I get more than I bargained for. But 'Mamma Mia' - utter, utter cr**. I like ABBA, I like the songs, I have the old LPs. But this film is just terrible. The stage show looks like a bit of a musical, but this races along with songs hurriedly following one another, no characterisation, the dance numbers (which were heavily choreographed according to the extras on the DVD) are just thrown away with only half the bodies ever on screen, the dance chorus of north Europeans appear on a small Greek island at will, while the set and set up of numbers would have disgraced Cliff Richard's musicals in the sixties!Meryl (see me I'm acting)Streep can't even make her usual mugging effective in an over-the-top musical! Her grand piece - 'The Winner Takes It All' - is Meryl at the Met! Note to director - it should have been shot in stillness with the camera gradually showing distance growing between Streep and Brosnan! Some of the singing is awful karaoke on amateur night. The camera cannot stop moving like bad MTV. One can never settle down and just enjoy the music, enthusiasm and characters. But what is even worse is how this botched piece of excre**** has become the highest grossing film in the UK and the best selling DVD to boot? Blair, Campbell and New Labour really have reduced the UK to zombies - critical faculties anyone???",0,negative,0.95
26249,"Why are there no good reviews? Because this film is hysterically bad.<br /><br />Set in a Japanese prison camp in World War II, we have Jim Brown as the hero who puts up with a hysterically unbelievable racist officer, and just as hysterical is the way the Japanese officers brown nose Jim Brown's character.<br /><br />This is probably the worst film any of these actors ever did. Stereotypes not only abound, but they dominate this film. The sixties-seventies music may be the best thing about the film, maybe because it has nothing to do with the film.<br /><br />This is even difficult to sit back and enjoy as mindless fun. This film is even more racist than the message of racism it tries to deliver. And believe me, I was alive in the seventies, and we thought crap like this was just as stupid then. It was never popular.",0,negative,0.95
9382,"It all begins with a series of thefts of seemingly unrelated objects in a hostel for students on Hickory Road, London. Concerned for her sister, who is the housekeeper there, Miss Lemon asks Hercule Poirot to look into the matter. He agrees, but soon the stakes get higher when a girl, who had admitted that she was responsible for most (not all) of the thefts, is found murdered.<br /><br />""Hickory Dickory Dock"" is a solid brain exercise, without being as mind-numbingly complicated as ""One, Two, Buckle My Shoe"". Murder, theft and diamond smuggling are the crimes involved, and the final twist that ties everything together is revealed only in the last 2 minutes! The characters are interesting, particularly the psychology student Colin McNabb and the mysterious American girl Sally Finch, Inspector Japp has his funny moments (in perhaps the closest this series has come to ""toilet humor""), and Miss Lemon gets a more integral part to the story than usual. (***)",1,neutral,0.85
43073,"I really wanted to love this film. I have read the book to my daughters and we all loved it. The book is marvelous. This film is very far from the book. The book is splendid - this film is an awful adaptation.<br /><br />In the book, Sara is honorable, kind, strong, and NEVER does anything spiteful to get back at anyone. That's the POINT of the book! She behaves as a ""princes"" regardless of circumstances. An important part of behaving like a princess is to not return unkindness. It is to behave honorably regardless of how you are being treated.<br /><br />In the book, she endures much and touches the lives of others. Other people change their behaviors after they witnessed her kindness and ability to endure without sinking to spite and vengefulness. Sara does what is right simply BECAUSE it is RIGHT.<br /><br />Outside of the bakery, she comes upon a beggar girl who is more poor and hungry than she is. She has half a dozen hot buns. She is VERY hungry. She gives one bun to this wild looking little girl huddled on the doorstep of the bakery. When she sees how ravenous the girl is and watches her gobble the bun, she gives her another. She continues to do this until she has given 3 or 4 I think - I don't remember how many.<br /><br />The baker is watching through the window. She is so moved by what she has witnessed, she takes the beggar girl in and raises her as her own daughter. Other people are similarly influenced by Sara.<br /><br />And in the book, her father has died. The man next door is her father's partner - he has been looking for her. Her father did not lose his money after all - the man is thrilled to find Sara; he takes her and Becky into his home and raises them as his daughters. And Sara has her full inheritance, of course.<br /><br />Miss Minchin is not a chimney sweep. In fact, she remains in her same post at the school. But she is humiliated as Sara has told her new guardian of the cruel treatment she received. And Sara does speak to Miss Minchin in the end - Miss Minchin is trying to minimize her treatment of Sara and Sara with a calm steadfast demeanor, instructs Miss Minchin that she had been cruel.<br /><br />There is no comeuppance for Miss Minchin. She continues on in her miserable existence. It does not matter - what matters is that Sara has a home with a guardian who loves her - and her dearest friend in the world, Becky, is now for all intents and purposes, her sister.<br /><br />The book is about love and honorable behavior under the worst of circumstances. It is about self control and humility. It is a wonderful book. This film does NOTHING to capture the true story and messages of the book. My wife was so disgusted with it, she wanted to leave the theater in the middle, but we decided to stick it out. We were not rewarded.<br /><br />I cannot for the life of me think of a reason the film makes should alter this excellent book in such a bad direction. Perhaps it was the influence of the ghastly screenplay from the book that Shirley Temple acted in. I don't know - but this film is so far from the book in character and values that I do not recognize it.<br /><br />Don't waste your time - buy the book. It is unforgettable... even for a dad!",0,negative,0.95
